Nome,Instituição,Lider 1,Lider 2,Área
"Negócios Públicos e Privados na Amazônia: Direito ao Desenvolvimento, Gestão Pública e Solução de Conflitos",UFPA,Maria Stela Campos da Silva,,Direito
"NEPEEDDI - NÚCLEO DE ESTUDOS, PESQUISA E EXTENSÃO EDUCAÇÃO, DEFICIÊNCIA, DIFERENÇA E INCLUSÃO",UFCG,Dorivaldo Alves Salustiano,,Educação
Neurociencias,UFCG,Alexandre Magno da Nobrega Marinho,Maria das Graças Loureiro das Chagas Campêlo,Medicina
Neuroquímica da Inflamação Sistêmica,USP,Luiz Guilherme de Siqueira Branco,Renato Nery Soriano,Fisiologia
NPCRM - NÚCLEO DE PESQUISA CONSERVAÇÃO E RESTAURO DE MOBILIÁRIO,IFB,Fernanda Freitas Costa de Torres,Frederico Hudson Ferreira,Museologia
Núcleo de Agrometeorologia e Desenvolvimento Rural - NADER,UEMG,Maria Gabriela de Queiroz,,Agronomia
Núcleo de Desenvolvimento e Inovação Tecnológica,IFAL,Tarsis Marinho de Souza,Cledja Karina Rolim da Silva,Ciência da Computação
"Núcleo de Educação em Ciências, Diversidade e Práticas Ambientais",UFTM,James Rogado,Fabiana Aparecida Hencklein,Educação
Núcleo de Estudos de Comunicação Comunitária e Local (COMUNI),UERJ,Cicilia Maria Krohling Peruzzo,,Comunicação
Núcleo de Estudos de Políticas Públicas,UNICAMP,Ana Lucia Goncalves da Silva,Maria Teresa Dalla Fontana Pinto Moreira Porto,Ciência Política
Núcleo de Estudos e Pesquisa sobre Formação de Professores e Relações Étnico-Raciais/GERA,UFPA,Erinaldo Vicente Cavalcanti,Felipe Alex Santiago Cruz,Educação
"Núcleo de Estudos em História da Amazônia, História Regional e Ensino de História",UNIFESSPA,Lucilvana Ferreira dos Santos Barros,Roberg Januario dos Santos,História
"Núcleo de Estudos Estratégicos, Geopolítica e Integração Regional (NEEGI)",UNILA,Lucas Kerr-Oliveira,Fábio Borges,Ciência Política
NÚCLEO DE GESTÃO E DESENVOLVIMENTO EMPREENDEDOR-NGEDE,IFAL,Ana Karla Cavalcante Ferreira,Carolina de Brito Barbosa,Administração
Núcleo de Linguagens e Códigos,IFRN,Luiza Helena Praxedes Fernandes,Sabrina Guedes Miranda Dantas,Educação
NÚCLEO DE PESQUISA ANTIRRACISMO - DIREITO UFRGS,UFRGS,Valdete Souto Severo,,Ciência Política
Núcleo de Pesquisa em Física e Ensino de Ciências - NUFECI,IFBA,Danilo Oliveira Pedreira,Helder Kenji Tanaka,Física
NÚCLEO DE PESQUISA EM TRABALHO E EDUCAÇÃO - NUPETE,UFF,Adriana Machado Penna,,Educação
Núcleo de Pesquisas Aplicadas às Ciências Econômicas,UFDPar,Fabio Junior Clemente Gama,,Economia
"Núcleo Interdisciplinar de Extensão, Ensino e Pesquisa para promoção da Soberania e Segurança Alimentar e Nutricional",UFRB,Micheli Dantas Soares,Flávia Conceição dos Santos Henrique,Saúde Coletiva
Núcleo Interdisciplinar de Pesquisa em Avaliação de Sustentabilidade (NIPAS),UTFPR,Valdir Fernandes,Marcelo Limont,Planejamento Urbano e Regional
"NUPEFAP- NÚCLEO DE PESQUISA, EXTENSÃO DE FORMAÇÃO DOCENTE DO AGRESTE PERNAMBUCANO",UFPE,Edelweis Jose Tavares Barbosa,Ana Paula Freitas da Silva,Educação
NUPEI - Núcleo de Pesquisa em Ecossistemas de Inovação,UFSC,Gabriela Gonçalves Silveira Fiates,Cristina Martins,Administração
NUPPE - NUCLEO DE PINTURA PESQUISA E ENSINO,UFU,Ana Helena da Silva Delfino Duarte,Rodrigo Freitas Rodrigues,Artes
Nutrição Clínica e Experimental do Centro Universitário FMABC,FMABC,Roseli Oselka Saccardo Sarni,,Medicina
Obesidade e suas comorbidades.,UFMT,Eveline Aparecida Isquierdo Fonseca de Queiroz,,Farmacologia
"Obesidade, atividade física e saúde (BALANCE)",UFPA,Juciléia Barbosa Bezerra,,Educação Física
"Observatório de Pesquisa em Epidemiologia, Nutrição e Saúde (OPENS)",FELUMA,Nathalia Sernizon Guimarães,,Nutrição
Oju Obìnrin - Observatório de Mulheres Negras,UESB,Nubia Regina Moreira,Francislene Cerqueira de Jesus,Sociologia
Oncologia Molecular,UFF,Lidia Maria da Fonte de Amorim,,Saúde Coletiva
Otimização,FGV,Vincent Gérard Yannick Guigues,,Matemática
P&D em Catálise Heterogênea e Sustentabilidade Ambiental,UNIFESSPA,Gicelia Rodrigues,Dyenny Ellen Lima Lhamas,Engenharia Química
"Pacto Federativo, Tributação e Financiamento dos Direitos Sociais.",MACKENZIE,Fulvia Helena de Gioia,Ricardo Cunha Chimenti,Direito
"Partidos, Eleições e Políticas Públicas",UFRGS,Sergio Simoni Junior,,Ciência Política
POIEIN - Nucleo Academico de Desconstrucao e Pesquisa em Economia Criativa e Sustentabilidade,IFES,Robson Malacarne,Orlando Lopes Albertino,Administração
"Polis e Mnemosine: Cidade, Memória e Educação",UEMG,Lana Mara de Castro Siman,Karla Cunha Padua,Educação
"Políticas de Prevenção de Violências e do Acesso à Justiça, Educação em Direitos Humanos e Gênero.",UFRJ,Miriam Krenzinger,Luiz Eduardo Bento de Mello Soares,Serviço Social
PORTUGUES COMO LÍNGUA DE ACOLHIMENTO E A PERFORMACE IDENTITÁRIA: uma perspectiva da entextualização,UESC,Maria D´Ajuda Alomba Ribeiro,,Lingüística
Postulados sobre Paulo Freire para Educação,UNILA,Catarina Costa Fernandes,Ronaldo Adriano Ribeiro da Silva,Educação
PRÁTICAS CLÍNICAS: PSICOLOGIA E POLÍTICA,UNICAP,Ana Lúcia Francisco,Carmem Lúcia Brito Tavares Barreto,Psicologia
"PRESERVAÇÃO DOS BENS CULTURAIS: HISTÓRIA, MEMÓRIA, IDENTIDADE E EDUCAÇÃO PATRIMONIAL",UENP,Janete Leiko Tanno,Rosiney Aparecida Lopes do Vale,História
Pretas: Observatório da Violência contra Mulheres no Semiárido Alagoano,UFAL,Marli de Araújo Santos,,Serviço Social
Processos de ensino e aprendizagem de Música na contemporaneidade: múltiplos espaços e metodologias,UFS,Rejane Harder,,Artes
Processos de escolarização no cotidiano escolar: contribuições da Epistemologia Genética,UEL,Francismara Neves de Oliveira,Leandro Augusto dos Reis,Educação
Processos Industriais e Ambientais Amazônicos,IFAM,Libertalamar Bilhalva Saraiva,Ocileide Custodio da Silva,Engenharia de Produção
Produtos e Processos Tecnológicos Alimentícios (PPTAL),UEM,Barbara Daniele Almeida Porciuncula,,Ciência e Tecnologia de Alimentos
Produtos Naturais e Biotecnologia,UFCA,Cláudia Araújo Marco,Allana Kellen Lima Santos Pereira,Agronomia
"Propriedades físicas, químicas e biológicas de biomateriais utilizados em Regeneração Tecidual",SLMANDIC,Elizabeth Ferreira Martinez,,Odontologia
Prospecção Química e Farmacológica de Plantas do Nordeste Brasileiro,UEPB,Maria da Conceição de Menezes Torres,Harley da Silva Alves,Química
QUESTÕES CONTROVERSAS DA TRIBUTAÇÃO - ÉTICA E SUSTENTABILIDADE,UNICURITIBA,Demetrius Nichele Macei,Betina Treiger Grupenmacher,Direito
Química Inorgânica e Aplicações Tecnológicas,CEFET/MG,Priscila Pereira Silva Caldeira,,Química
Recommender Systems Research Group,UFBA,Frederico Araujo Durão,Danilo Barbosa Coimbra,Ciência da Computação
REPRESENTAÇÕES SOCIAIS E EDUCAÇÃO,UFPE,Laeda Bezerra Machado,,Educação
REVESTIMENTOS APLICADOS PARA A PROTEÇÃO CONTRA A CORROSÃO,UFGD,Ivan Ramires,,Química
"Saúde, Educação e Ambiente: Informações Socioepidemiológicas e Populações Indígenas em Roraima",UFRR,Fabíola Christian Almeida de Carvalho,Fernando José Ciello,Saúde Coletiva
"Serviço Social e Saúde, Formação e Exercício Profissional",UEL,Líria Maria Bettiol Lanza,Evelyn Secco Faquin,Serviço Social
"SERVIÇO SOCIAL, EDUCAÇÃO E DIREITOS DA CRIANÇA E DO ADOLESCENTE",UCSAL,Gilca Oliveira Carrera,Ivone Pires Ferreira de Oliveira,Serviço Social
Significar Mato Grosso,UNEMAT,Taisir Mahmudo Karim,Jocineide Macedo Karim,Lingüística
Simulação numérica e análise experimental de estruturas de concreto de ultra alto desempenho reforçado por fibras (UHPFRC),UTFPR,Gustavo De Miranda Saleme Gidrão,,Engenharia Civil
Síntese de Materiais e Remediação Ambiental,UNIFESSPA,Francisco Adriano de Oliveira Carvalho,Adriane Damasceno Vieira de Souza,Química
SISTEMAS DE PRODUÇÃO AGRÍCOLA NO MATOPIBA - SISPAM,UNITINS,Michele Ribeiro Ramos,Anderson Barbosa Evaristo,Agronomia
Sistemas Integrados de Produção Agroindustriais,IFTO,Demis Carlos Ribeiro Menezes,,Medicina Veterinária
Sociologia Urbana e Internacionalização das Cidades (GPSUIC),UFRGS,Vanessa Marx,,Sociologia
Tecnologias de Ensino e de Cuidado em Enfermagem e Saúde,UFJF,Fábio da Costa Carbogim,,Enfermagem
Tempo de cuidar Arte de Viver,UFF,Nadia Filomena Ribeiro da Silva,,Saúde Coletiva
Terapêutica alternativa em doenças causadas por patógenos de importância congênita,UFU,Samuel Cota Teixeira,,Morfologia
Texturas da Experiência: Sociologia e Estudos da Diáspora Africana,UFSCAR,Priscila Martins de Medeiros,,Sociologia
Toxicologia Preditiva,UFMG,Carlos Alberto Tagliati,,Farmácia
Trabalho e práticas de gestão de pessoas,UFES,Kátia Cyrlene de Araujo Vasconcelos,Andreza Sampaio de Mello,Administração
"TRABALHO, ESPAÇO E CAMPESINATO - GETEC",UFPB,Emilia de Rodat Fernandes Moreira,Ivan Targino Moreira,Geografia
"Universidades Públicas Brasileiras e suas interações com empresas, institutos de pesquisa e governo, sob a ótica da Inovação",UFPA,Márcia Jucá Teixeira Diniz,,Economia
UroS - Grupo de Pesquisa em Urologia - Subgrupos populacionais - UEFS,UEFS,José de Bessa Júnior,Ricardo Brianezi Tiraboschi,Medicina
"Vigilância, Avaliação e Cuidado Integral em Doenças Crônicas não Transmissíveis.",IFPB,Asdrúbal Nóbrega Montenegro Neto,,Saúde Coletiva
Vírus entéricos,IEC,Luana da Silva Soares Farias,Maria Cleonice Aguiar Justino,Microbiologia
VIVA VOX - GRUPO DE PESQUISA EM FILOSOFIA CLÁSSICA E HELENÍSTICA,UFS,Aldo Lopes Dinucci,Marcos Fonseca Ribeiro Balieiro,Filosofia
""" Laboratório de Pesquisa em História e Historiografia do Brasil""",UnB,Eloísa Pereira Barroso,Lea Maria Carrer Iamashita,História
"""Avaliação e Intervenção fisioterapêutica na saúde da criança e do adolescente com distúrbios cardiorrespiratórios primário e secundário""",USP,Evelim Leal de Freitas Dantas Gomes,,Fisioterapia e Terapia Ocupacional
"""Building+"" Avaliação de desempenho de edificações",UFMS,Arthur Santos Silva,,Engenharia Civil
"""Corporhis"": Corpo, História e Cultura",UESB,Felipe Eduardo Ferreira Marta,Jonatan dos Santos Silva,Educação Física
"""Criação e (re)criação do romance nacional: conteúdo histórico e forma artística""",UNIR,Fernando Simplício dos Santos,Elizabeth Cavalcante de Lima,Letras
"""DESENVOLVIMENTO, TECNOLOGIAS, CULTURA E SOCIOBIODIVERSIDADE NA AMAZÔNIA"".",IFPA,Leonardo Silveira Villar,Aline Marculino de Alcântara,Ciências Ambientais
"""DROP - DIREITO PROCESSUAL E DEMOCRACIA""",UERJ,Flávia Pereira Hill,,Direito
"""Egungun - Grupo de Pesquisa em Ancestralidades, Cerâmica e Decolonialidades na Arte e na Educação""",UNESP,Priscila Leonel de Medeiros Pereira,Rejane Galvão Coutinho,Artes
"""Governança Universitária na Era Digital: Desafios e Oportunidades para a Saúde e Inovação Tecnológica no Ambiente Acadêmico""",UniEVANGELICA,Cristiane Martins Rodrigues Bernardes,,Educação
"""Grupo de Pesquisa em Algoritmos Inteligentes para Análise de Dados Multiescala em Sísmica e Petrofísica""",UFPA,José Jadsom Sampaio de Figueiredo,,Geociências
"""La- Moda"". Laboratório de estudos e pesquisas em história, moda e cultura",UEM,Ivana Guilherme Simili,,História
"""Mente Aberta"" - Centro Brasileiro de Mindfulness e Promoção da Saúde",UNIFESP,Marcelo Demarzo,Vânia D'Almeida,Medicina
"""Nós Afro & Originários"" - Centro de Referência Intercultural em Políticas Afirmativas e Educação Antirracista",UFSM,Adriana Moreira da Rocha-Veiga,Denise Santos da Cruz,Educação
"""O Despertar da Educação Financeira"" GEPDEFin",IFMT,Cesar Cristiano Belmar,Valdiego Siqueira Melo,Educação
"""Paidéia"" e cultura no projeto civilizatório ocidental",IFPB,Emmanoel de Almeida Rufino,,Educação
"""SAPERE AUDE"" - Direitos Fundamentais, Multiculturalismo e tecnologia na Sociedade Globalizada",FDSM,Hamilton da Cunha Iribure Júnior,,Direito
"""Tecnologias Digitais Aplicadas ao Ensino""",IFRJ,Marcos Antonio Guerine Ribeiro,Carmen Elena das Chagas,Educação
"""Tem sangue na mata"" - Percival Farquhar, o empresário devastador do Brasil: Territórios, Redes e Conflitos na Implantação das Estradas de Ferro EFMM-RO e EFSP-RG-PR/SC",UEL,Nilson Cesar Fraga,Josue da Costa Silva,Geografia
#FOLKCoLAB - Colaboratório de pesquisas e práticas sobre Folksonomia e Sistemas Híbridos de Organização do Conhecimento,UFRJ,Raimunda Fernanda dos Santos,Juliana Horta de Assis Pinto,Ciência da Informação
πολιτεία - Grupo de Pesquisa em Constituição e Política,UNIFESP,Raphael Cezar da Silva Neves,,Direito
'Produção vegetal e manejo de florestas',IFBAIANO,César Marques Borges Querino,,Agronomia
'Química de Produtos e Recursos Naturais,UFAM,Jamal da Silva Chaar,Luiz Kleber Carvalho de Souza,Química
'y'nterfluxes contemporâneos das artes-comunidade-Natureza,UFF,Luiz Guilherme de Barros Falcao Vergara,,Artes
"(AMET) Ambiente, Mineração e Energia nos Tribunais",ESDHC,Romeu Faria Thomé da Silva,,Direito
(an)arqueologias do sensível,UFBA,Marcelo Rodrigues Souza Ribeiro,Adil Giovanni Lepri,Artes
(AQUALABI) LABORATÓRIO INTERDISCIPLINDAR DE EXERCÍCIOS AQUÁTICOS E SAÚDE,UFSM,Luciane Sanchotene Etchepare Daronco,Ângela Kemel Zanella,Educação Física
(D)QBRN e Agentes precursores,ECEME,Mariana Montez Carpes,,Defesa
"(De)Crescimento Urbano, Paisagem e Patrimonio",UFSM,Ricardo de Souza Rocha,,Arquitetura e Urbanismo
(Des)caminhos da modernidade ao contemporâneo: estudos em literatura e outras linguagens,UTFPR,Rogério Caetano de Almeida,Naira de Almeida Nascimento,Letras
"(Des)Leitura: Filosofia, Ciência e Arte",UEL,Marcos Alexandre Gomes Nalli,,Filosofia
(Eco)Toxicologia In Vitro,UFPR,Daniela Morais Leme,,Genética
"(Geo)grafias, linguagens e percursos educativos",UFGD,Flaviana Gasparotti Nunes,,Geografia
(GPEM) Grupo de pesquisa em Marketing,UFMS,Alessandro Silva de Oliveira,Matheus Alberto Rodrigues Silva,Administração
(GPEN) Grupo de Pesquisa e Estudo em Neurolinguística,UESB,Nirvana Ferraz Santos Sampaio,,Lingüística
"(GPPEN) Grupo de Pesquisa: Práticas, escritas e narrativas.",UESB,Cássio Roberto Borges da Silva,Marcus Antônio Assis Lima,Letras
(http://lattes.cnpq.br/web/dgp) GRUPO DE ESTUDO EM PROCESSOS SOCIOAMBIENTAIS NA AMAZÔNIA-GEPSA,UNIR,Adriana Vieira da Costa,,Direito
(In)definitude através das línguas (In)definiteness across languages,UFSC,Roberta Pires de Oliveira,,Lingüística
(In)visibilidades: Grupo de pesquisa sobre a imagem da pessoa com deficiência,UnB,Claudia Linhares Sanz,Fátima Lucília Vidal Rodrigues,Comunicação
(LABORA)tório (NO)made: grupo de pesquisa sobre cena expandida e intermedial,UNIFAP,José Flávio Gonçalves da Fonseca,,Artes
(NEVE) NÚCLEO DE ESTUDOS VIKINGS E ESCANDINAVOS,UFPB,Johnni Langer,Dilaine Soares Sampaio,História
"(R)Existências: Educação, Direitos Humanos, Culturas e Meio Ambiente",IF SUDESTE MG,Beatris Cristina Possato,Helton Nonato de Souza,Educação
(Re)Enunciação Fraseoparemiológica - REENUNFRAPA,UnB,Luis Carlos Ramos Nogueira,,Lingüística
(TRANS)FORMAÇÃO,UFPA,Terezinha Valim Oliver Gonçalves,,Educação
- Ação e Mobilização pela Educação a partir da Infância - AMEI,UNEB,Lormina Barreto Neta,Valnice Sousa Paiva,Educação
- GRUPO DE PESQUISA EM ESTUDOS AMEFRICANOS ZACIMBA GABA,UFLA,Gasperim Ramalho de Souza,Helenice Joviano Roque de Faria,Letras
-grafia: estudos da escrita,UEMG,Sérgio Antônio Silva,,Desenho Industrial
. Núcleo Interdisciplinar de Estudos e Pesquisas em Saúde Pública- NIEPESP,UNITINS,Luciana Oliveira dos Santos,Maikon Chaves de Oliveira,Enfermagem
...etc.-Estudos Transitivos do Contemporâneo,UFJF,Potiguara Mendes da Silveira Junior,Magno Machado Dias,Comunicação
.comCiência,IFPB,Tainá Souza Silva,,Divulgação Científica
1000 Futuros Cientistas,UFMG,Rita de Cássia de Oliveira Sebastião,Janaína de Paula e Silva,Química
1maginari0: Poéticas Tecnológicas,UFMG,Marilia Lyra Bergamo,,Artes
2. Grupo de pesquisa Multidisciplinar de Pesquisa Translacional em Tripanosomatídeos,FIOCRUZ,Elmo Eduardo de Almeida Amaral,,Microbiologia
2RE - Research for Renewable Energy,UNESP,Leonardo Lataro Paim,Andréia Fátima Zanette,Engenharia de Energia
"3Cs em Foco - Comportamento, corrupção e compliance",UFG,Michele Rílany Rodrigues Machado,,Administração
3D Printing Bladder Workgroup: Desenvolvimento de tecidos complexos.,UFPE,Clessio Leao Silva Lima,,Engenharia Biomédica
3R-Nrr Núcleo de Reciclagem de Resíduos,UFSCAR,Bernardo Arantes do Nascimento Teixeira,Maria Zanin,Engenharia de Materiais e Metalúrgica
4C - Centro de Comunicação e Ciências Cognitivas,USP,Leandro Leonardo Batista,Altay Alves Lino de Souza,Comunicação
"4E (Energia, Exergia, Exergoeconomia e Exergoambiental)",UFRN,Eduardo José Cidade Cavalcanti,,Engenharia Mecânica
4RUMEN-Grupo de Pesquisa em Nutrição de Ruminantes,UNIPAMPA,Pablo de Souza Castagnino,,Zootecnia
4Vision - Grupo de Pesquisa em Visão Computacional,UFERSA,Francisco de Assis Pereira Vasconcelos de Arruda,,Ciência da Computação
: Grupo de Estudos e Pesquisas em Representações Sociais e Educação contemporânea,UNEB,Suzzana Alice Lima Almeida,,Educação
=ISO Justiça Processual e Desigualdade,UniCEUB,Jefferson Carlos Carús Guedes,,Direito
[AVC Group] Applied Visual Computing Group / Grupo de Computação Visual Aplicada,UFPI,Laurindo de Sousa Britto Neto,,Ciência da Computação
[compor],UDESC,Elaine Schmidlin,Juliana Crispe,Artes
"[continente] Espaço, Técnica e Ação: razão global e razões locais",UFMG,Fabio Tozi,,Geografia
[eMMa] Núcleo de Estudos em Música e Musicologia Audiotátil,UFES,Fabiano Araujo Costa,,Artes
[GUETO] Grupo Unido para Educacão e Trabalhos de Orientação,UFRB,Jean Adriano Barros da Silva,Carolina Gusmão Magalhães,Educação
"[INTRA] - Grupo de Pesquisa em Arquitetura de Interiores, Design & Decoração",UFJF,Frederico Braida Rodrigues de Paula,Myrtes Raposo,Arquitetura e Urbanismo
[Re]image - Grupo de Pesquisa em Artes Visuais,UFRB,Ana Valécia Araújo Ribeiro,Carolina Fialho Silva,Artes
[Theoria/Philosophia] Estudos Interdisciplinares em Teoria e Filosofia da História,UEL,Márcio Santos de Santana,,História
A (im)possibildade de dar corpo ao passado na arte e na narrativa dos séculos XX e XXI,UFRJ,Angela Beatriz de Carvalho Faria,,Letras
A ação colaborativa e as tarefas pedagógicas no ensino e na aprendizagem de línguas estrangeiras,UNISINOS,Marilia dos Santos Lima,,Letras
A Análise Estatística Implicativa e outras abordagens teóricas e metodológicas na pesquisa no Ensino de Ciências e Matemática,UFRPE,Vladimir Lira Veras Xavier de Andrade,Rafael Santos de Aquino,Educação
A anatomia vegetal no conhecimento da diversidade biológica: buscando compreender as estratégias de sobrevivência vegetais,IP/JBRJ,Claudia Franca Barros,Karen Lúcia Gama De Toni,Botânica
